num_lectures,price,days_since_published,content_duration
19,200,1889,1.5
13,20,2886,2.0
114,110,2136,6.0
11,50,1861,1.0
40,200,2473,5.5
65,200,2032,4.5
9,20,2323,1.5
27,175,2013,2.5
26,125,2654,1.5
13,0,1789,0.5166666666666666
34,110,2074,5.5
46,20,2969,5.0
12,200,2008,1.0
53,50,2976,2.5
35,200,2052,1.5
19,50,2980,2.0
11,0,1842,1.5
24,0,2956,3.5
11,20,2186,1.0
8,0,2258,0.7333333333333333
15,0,2267,1.0
10,200,1825,1.0
29,20,2759,3.0
19,0,1930,5.0
24,45,2518,5.5
52,20,2141,4.0
10,25,3666,2.0
48,60,2301,3.0
16,50,2674,2.5
16,25,2586,1.5
13,0,2692,1.0
9,195,1856,0.5
39,170,2258,6.5
17,50,2144,2.0
34,20,1917,1.0
34,30,1801,4.0
20,95,1791,2.0
145,0,2088,8.5
131,50,2758,8.0
18,45,2477,1.0
16,40,3038,4.0
395,180,2610,33.0
10,45,2413,1.5
44,200,2685,4.0
15,20,1981,1.5
70,40,2165,5.0
25,95,2253,1.5
7,35,2060,0.55
17,20,2382,2.0
14,40,2246,1.5
12,20,2820,3.0
13,25,2652,1.0
9,20,1889,1.0
19,0,2592,3.0
12,200,1888,0.6
5,0,2632,1.0
70,50,1798,10.5
90,55,2862,2.5
19,85,1944,2.5
44,50,2786,5.5
70,95,2431,13.5
239,95,2152,25.5
11,20,2192,1.0
32,55,2272,6.0
61,95,2092,2.5
23,70,1913,2.5
12,35,2286,1.0
15,25,3106,1.5
106,50,2590,6.5
82,150,2150,8.0
82,50,2120,4.0
19,20,2014,2.5
59,20,2979,8.0
13,20,2192,1.0
11,25,2087,1.5
17,20,2922,1.5
103,175,2469,13.0
27,0,2093,2.0
10,0,2632,0.5333333333333333
20,0,2678,1.5
16,200,2549,2.5
58,55,2630,4.5
32,40,2064,5.0
16,20,3041,1.0
12,20,3153,2.0
11,20,2755,0.6166666666666667
77,75,2212,6.0
32,95,1816,1.5
27,50,2638,5.0
46,30,2280,9.0
9,20,2955,0.6166666666666667
31,20,2264,1.5
30,200,2047,3.0
16,50,2296,1.0
8,35,2470,0.6166666666666667
17,50,3221,8.0
113,85,1847,18.5
30,70,2387,1.0
63,75,2533,3.5
13,20,2472,0.7
25,50,2182,2.5
33,20,2994,70.0
60,50,2095,7.0
22,70,2396,5.0
33,75,3044,4.5
38,30,3008,12.0
27,30,2193,2.0
6,60,3364,1.0
93,170,2028,4.5
64,20,2715,7.0
36,120,2414,4.0
14,95,2445,1.0
34,20,2557,6.5
9,25,2375,1.0
36,60,2339,2.0
16,20,2344,2.0
62,50,2022,1.5
15,50,2997,2.5
14,20,2543,2.0
27,40,2500,3.5
71,120,2106,14.0
11,200,2452,2.0
202,100,1875,16.0
78,100,2010,6.5
8,45,2386,1.0
8,50,1790,1.5
23,30,2560,3.0
16,30,2410,1.5
25,20,2221,4.0
8,25,1990,1.5
18,0,1860,1.0
